name,time,beacon,location,rssi,scanner
TestRSSI,1576203315451000000,0117C55D14E4,T1_1,-83,CD4533FFC0E1
TestRSSI,1576203315594000000,0117C55D14E4,T1_1,-69,E96AF2C858BA
TestRSSI,1576203315596000000,0117C55D14E4,T1_1,-80,E13B805C6CB0
TestRSSI,1576203315671000000,0117C55D14E4,T1_1,-69,E13B805C6CB0
TestRSSI,1576203315780000000,0117C55D14E4,T1_1,-82,FB2EE01C18CE
TestRSSI,1576203315789000000,0117C55D14E4,T1_1,-82,FB2EE01C18CE
TestRSSI,1576203315818000000,0117C55D14E4,T1_1,-86,DD697EA75B68
TestRSSI,1576203315837000000,0117C55D14E4,T1_1,-82,FB2EE01C18CE
TestRSSI,1576203315842000000,0117C55D14E4,T1_1,-85,C400A2E19293
TestRSSI,1576203315857000000,0117C55D14E4,T1_1,-93,DD697EA75B68
TestRSSI,1576203315956000000,0117C55D14E4,T1_1,-68,E96AF2C858BA
TestRSSI,1576203315992000000,0117C55D14E4,T1_1,-67,E6D9D20DD197
TestRSSI,1576203315998000000,0117C55D14E4,T1_1,-85,C400A2E19293
TestRSSI,1576203316015000000,0117C55D14E4,T1_1,-69,E6D9D20DD197
TestRSSI,1576203316028000000,0117C55D14E4,T1_1,-66,E6D9D20DD197
TestRSSI,1576203316058000000,0117C55D14E4,T1_1,-79,EC72840D9AD3
TestRSSI,1576203316114000000,0117C55D14E4,T1_1,-66,E96AF2C858BA
TestRSSI,1576203316243000000,0117C55D14E4,T1_1,-80,DB8B36A69C56
TestRSSI,1576203316250000000,0117C55D14E4,T1_1,-70,E6D9D20DD197
TestRSSI,1576203316297000000,0117C55D14E4,T1_1,-66,DF231643E227
TestRSSI,1576203316358000000,0117C55D14E4,T1_1,-76,E13B805C6CB0
TestRSSI,1576203316460000000,0117C55D14E4,T1_1,-66,E96AF2C858BA
TestRSSI,1576203316559000000,0117C55D14E4,T1_1,-97,E43355CA8B96
TestRSSI,1576203316561000000,0117C55D14E4,T1_1,-81,CD4533FFC0E1
TestRSSI,1576203316562000000,0117C55D14E4,T1_1,-96,E8FD0B453DC4
TestRSSI,1576203316797000000,0117C55D14E4,T1_1,-65,E96AF2C858BA
TestRSSI,1576203316894000000,0117C55D14E4,T1_1,-96,E8FD0B453DC4
TestRSSI,1576203316915000000,0117C55D14E4,T1_1,-75,E6D9D20DD197
TestRSSI,1576203317085000000,0117C55D14E4,T1_1,-66,E6D9D20DD197
TestRSSI,1576203317141000000,0117C55D14E4,T1_1,-70,F69A86823B96
TestRSSI,1576203317142000000,0117C55D14E4,T1_1,-74,F69A86823B96
TestRSSI,1576203317261000000,0117C55D14E4,T1_1,-74,F69A86823B96
TestRSSI,1576203317341000000,0117C55D14E4,T1_1,-69,E96AF2C858BA
TestRSSI,1576203317348000000,0117C55D14E4,T1_1,-73,F69A86823B96
TestRSSI,1576203317352000000,0117C55D14E4,T1_1,-70,F69A86823B96
TestRSSI,1576203317375000000,0117C55D14E4,T1_1,-65,E96AF2C858BA
TestRSSI,1576203317417000000,0117C55D14E4,T1_1,-91,C400A2E19293
TestRSSI,1576203317654000000,0117C55D14E4,T1_1,-85,C400A2E19293
TestRSSI,1576203317663000000,0117C55D14E4,T1_1,-89,DD697EA75B68
TestRSSI,1576203317753000000,0117C55D14E4,T1_1,-81,FB2EE01C18CE
TestRSSI,1576203317821000000,0117C55D14E4,T1_1,-75,FB2EE01C18CE
TestRSSI,1576203317847000000,0117C55D14E4,T1_1,-66,E6D9D20DD197
TestRSSI,1576203317848000000,0117C55D14E4,T1_1,-76,FB2EE01C18CE
TestRSSI,1576203317924000000,0117C55D14E4,T1_1,-70,E6D9D20DD197
TestRSSI,1576203318104000000,0117C55D14E4,T1_1,-83,CD4533FFC0E1
TestRSSI,1576203318194000000,0117C55D14E4,T1_1,-70,E6D9D20DD197
TestRSSI,1576203318226000000,0117C55D14E4,T1_1,-81,D2B6503554D7
TestRSSI,1576203318352000000,0117C55D14E4,T1_1,-78,F1307ECB3B90
TestRSSI,1576203318359000000,0117C55D14E4,T1_1,-87,F1307ECB3B90
TestRSSI,1576203318415000000,0117C55D14E4,T1_1,-87,E13B805C6CB0
TestRSSI,1576203318417000000,0117C55D14E4,T1_1,-69,E6D9D20DD197
TestRSSI,1576203318420000000,0117C55D14E4,T1_1,-69,E13B805C6CB0
TestRSSI,1576203318461000000,0117C55D14E4,T1_1,-69,E6D9D20DD197
TestRSSI,1576203318578000000,0117C55D14E4,T1_1,-80,DB8B36A69C56
TestRSSI,1576203318630000000,0117C55D14E4,T1_1,-71,F69A86823B96
TestRSSI,1576203318773000000,0117C55D14E4,T1_1,-72,F69A86823B96
TestRSSI,1576203318804000000,0117C55D14E4,T1_1,-66,E6D9D20DD197
TestRSSI,1576203318840000000,0117C55D14E4,T1_1,-88,DD697EA75B68
TestRSSI,1576203318894000000,0117C55D14E4,T1_1,-89,F1307ECB3B90
TestRSSI,1576203319015000000,0117C55D14E4,T1_1,-66,E96AF2C858BA
TestRSSI,1576203319018000000,0117C55D14E4,T1_1,-69,E96AF2C858BA
TestRSSI,1576203319021000000,0117C55D14E4,T1_1,-69,E6D9D20DD197
TestRSSI,1576203319021000000,0117C55D14E4,T1_1,-67,E96AF2C858BA
TestRSSI,1576203319022000000,0117C55D14E4,T1_1,-84,C400A2E19293
TestRSSI,1576203319022000000,0117C55D14E4,T1_1,-69,E13B805C6CB0
TestRSSI,1576203319150000000,0117C55D14E4,T1_1,-69,E6D9D20DD197
TestRSSI,1576203319320000000,0117C55D14E4,T1_1,-70,E6D9D20DD197
TestRSSI,1576203319395000000,0117C55D14E4,T1_1,-93,DB8B36A69C56
TestRSSI,1576203319395000000,0117C55D14E4,T1_1,-69,E6D9D20DD197
