name,time,X,Y
TestSequenceLocation,1579154790807367000,-11.972223,0.22523741
TestSequenceLocation,1579154790860651900,-12.015395,0.22449261
TestSequenceLocation,1579154791160797800,-12.166029,0.078527778
TestSequenceLocation,1579154791309723400,-12.270616,0.10386086
TestSequenceLocation,1579154792059395400,-12.438726,-0.0037320827
TestSequenceLocation,1579154794459147300,-14.121102,1.5314349
TestSequenceLocation,1579154794610312100,-14.075157,1.6120905
TestSequenceLocation,1579154794807936000,-14.086074,1.808284
TestSequenceLocation,1579154794857977200,-14.020302,1.8727438
TestSequenceLocation,1579154795004894600,-13.929539,1.9906962
TestSequenceLocation,1579154795666793600,-13.849381,2.6610625
TestSequenceLocation,1579154795803886800,-13.840535,2.7485518
TestSequenceLocation,1579154795859573600,-13.84195,2.7953303
TestSequenceLocation,1579154796005084800,-13.745009,2.9499841
TestSequenceLocation,1579154796160692700,-13.793285,3.1096294
TestSequenceLocation,1579154796307676300,-13.707621,3.2645772
TestSequenceLocation,1579154796362372100,-13.767819,3.3323104
TestSequenceLocation,1579154796458168300,-13.732586,3.4494655
TestSequenceLocation,1579154796606551400,-13.692694,3.572288
TestSequenceLocation,1579154796664419700,-13.666351,3.683718
TestSequenceLocation,1579154796810119300,-13.556542,3.8399084
TestSequenceLocation,1579154797002305200,-13.64575,3.9074132
TestSequenceLocation,1579154797361516200,-13.294737,4.4949579
TestSequenceLocation,1579154797461349700,-13.448285,4.4674821
TestSequenceLocation,1579154797801875100,-13.496285,4.66945
TestSequenceLocation,1579154797862631100,-13.447686,4.7717857
TestSequenceLocation,1579154798007992600,-13.395394,4.8851089
TestSequenceLocation,1579154798106601200,-13.439295,4.9210005
TestSequenceLocation,1579154798160500500,-13.448668,4.9654021
TestSequenceLocation,1579154798305023100,-13.48912,5.0085106
TestSequenceLocation,1579154798359289200,-13.402081,5.1225739
TestSequenceLocation,1579154798658228500,-13.268796,5.4135094
TestSequenceLocation,1579154798803852300,-13.287269,5.6372676
TestSequenceLocation,1579154799107169700,-13.311601,5.7177663
TestSequenceLocation,1579154799160588200,-13.344507,5.7474928
TestSequenceLocation,1579154799351886200,-13.338411,5.7920575
TestSequenceLocation,1579154799403873000,-13.302899,5.8548651
TestSequenceLocation,1579154799460696300,-13.213211,6.0017524
TestSequenceLocation,1579154799611965500,-12.680319,6.4616518
TestSequenceLocation,1579154799660480500,-12.669055,6.3697867
TestSequenceLocation,1579154799805070600,-12.678595,6.4339013
TestSequenceLocation,1579154799859097400,-12.667302,6.5859361
TestSequenceLocation,1579154800001928900,-12.44943,6.7433043
TestSequenceLocation,1579154800109113500,-12.491483,6.7628427
TestSequenceLocation,1579154800159988900,-12.472598,6.9063134
TestSequenceLocation,1579154800306274400,-12.240654,7.0089149
TestSequenceLocation,1579154800361943400,-11.997743,7.5303464
TestSequenceLocation,1579154800460796100,-12.092717,7.356287
TestSequenceLocation,1579154800603801200,-12.095352,7.2941127
TestSequenceLocation,1579154800664180500,-12.234943,7.1233139
TestSequenceLocation,1579154800804853500,-12.177759,7.0884476
TestSequenceLocation,1579154800860688900,-12.084462,7.1838326
TestSequenceLocation,1579154801006988200,-12.070855,7.1612039
TestSequenceLocation,1579154801103782400,-12.08939,7.0714383
TestSequenceLocation,1579154801165194600,-12.092534,7.077857
TestSequenceLocation,1579154801323677400,-12.104059,7.006321
TestSequenceLocation,1579154801370772300,-12.001726,7.033813
TestSequenceLocation,1579154801458646700,-11.999238,6.9723015
TestSequenceLocation,1579154801604206800,-11.81688,7.004056
TestSequenceLocation,1579154801663274800,-11.648951,7.0322018
TestSequenceLocation,1579154801805815700,-11.01777,7.4429092
TestSequenceLocation,1579154801859850000,-10.869598,7.5257049
TestSequenceLocation,1579154802002148800,-10.899484,7.5923524
TestSequenceLocation,1579154802108889900,-11.016967,7.3964758
TestSequenceLocation,1579154802158102700,-11.086234,7.2568278
TestSequenceLocation,1579154802306791300,-11.118906,7.1408215
TestSequenceLocation,1579154802360017800,-11.13674,7.0548844
TestSequenceLocation,1579154802461513300,-11.110531,6.98683
TestSequenceLocation,1579154802613651600,-11.088626,6.945159
TestSequenceLocation,1579154802659894600,-11.095039,6.8746758
TestSequenceLocation,1579154802804735000,-11.082227,6.8036942
TestSequenceLocation,1579154802865587000,-11.063643,6.7671952
TestSequenceLocation,1579154803002864700,-11.009294,6.7216058
TestSequenceLocation,1579154803105951600,-10.828839,6.7231374
TestSequenceLocation,1579154803165181000,-10.762254,6.6855721
TestSequenceLocation,1579154803304562900,-10.632994,6.6711683
TestSequenceLocation,1579154803360702800,-10.723442,6.5771
TestSequenceLocation,1579154803459964000,-10.600851,6.6479979
TestSequenceLocation,1579154803605136900,-10.458464,6.6105146
TestSequenceLocation,1579154803661394700,-10.461314,6.7067475
TestSequenceLocation,1579154803802413400,-10.271661,6.6958008
TestSequenceLocation,1579154803858145600,-10.091079,6.7687683
TestSequenceLocation,1579154804006546900,-9.95212,6.8094773
TestSequenceLocation,1579154804104228500,-9.8819227,6.85378
TestSequenceLocation,1579154804161878900,-9.7848892,6.8924732
TestSequenceLocation,1579154804305732400,-9.7115774,6.9201746
TestSequenceLocation,1579154804361903500,-9.5292492,6.8101177
TestSequenceLocation,1579154804459746900,-9.499836,6.7636585
TestSequenceLocation,1579154804608026200,-9.4025917,6.8822107
TestSequenceLocation,1579154804657063800,-9.2461529,6.8829689
TestSequenceLocation,1579154804806420000,-9.1490517,6.9032664
TestSequenceLocation,1579154804860888300,-9.0180731,6.8766518
TestSequenceLocation,1579154805003681400,-8.8907738,6.8781753
TestSequenceLocation,1579154805103642200,-8.7792377,6.9396625
TestSequenceLocation,1579154805169401300,-8.673213,6.9699368
TestSequenceLocation,1579154805304084700,-8.5426512,7.0055618
TestSequenceLocation,1579154805367694600,-8.4805222,7.0299597
TestSequenceLocation,1579154805459537100,-8.3606215,6.9696107
TestSequenceLocation,1579154805603630800,-8.3283014,7.0566592
TestSequenceLocation,1579154805658249900,-8.2909441,7.1101952
TestSequenceLocation,1579154805806317700,-8.1324635,6.9972758
TestSequenceLocation,1579154805861873700,-8.0633926,6.9611721
TestSequenceLocation,1579154806005370900,-7.9799142,6.9332266
TestSequenceLocation,1579154806107024200,-7.8648324,6.8787255
TestSequenceLocation,1579154806157581600,-7.7198396,6.808423
TestSequenceLocation,1579154806310543000,-7.334692,6.8689866
TestSequenceLocation,1579154806356464000,-7.2186728,6.9027653
TestSequenceLocation,1579154806609875200,-6.9398584,6.9327745
TestSequenceLocation,1579154806805256900,-6.9064894,6.9578352
TestSequenceLocation,1579154807101991500,-6.7760053,6.9924912
TestSequenceLocation,1579154807357418400,-6.5925789,7.0607281
TestSequenceLocation,1579154808001995600,-6.2015629,7.1560965
TestSequenceLocation,1579154808304966000,-6.0035563,7.103723
TestSequenceLocation,1579154808459858500,-5.8254881,7.0415387
TestSequenceLocation,1579154808804252900,-5.6255989,6.9568248
TestSequenceLocation,1579154809104107900,-5.3919954,6.8580661
TestSequenceLocation,1579154809156583900,-5.2855024,6.83989
TestSequenceLocation,1579154809308705200,-5.1764579,6.8406272
TestSequenceLocation,1579154809361967400,-5.0599241,6.8234882
