name,time,beacon,location,rssi,scanner
TestRSSI2,1578637092555000000,0117C55D14E4,T1_3,-74,FB2EE01C18CE
TestRSSI2,1578637092556000000,0117C55D14E4,T1_3,-81,EC72840D9AD3
TestRSSI2,1578637092556000000,0117C55D14E4,T1_3,-71,FB2EE01C18CE
TestRSSI2,1578637092557000000,0117C55D14E4,T1_3,-69,E96AF2C858BA
TestRSSI2,1578637092558000000,0117C55D14E4,T1_3,-94,DB8B36A69C56
TestRSSI2,1578637092558000000,0117C55D14E4,T1_3,-68,DF231643E227
TestRSSI2,1578637092561000000,0117C55D14E4,T1_3,-70,E96AF2C858BA
TestRSSI2,1578637092596000000,0117C55D14E4,T1_3,-84,E43355CA8B96
TestRSSI2,1578637092671000000,0117C55D14E4,T1_3,-74,FB2EE01C18CE
TestRSSI2,1578637092687000000,0117C55D14E4,T1_3,-72,E96AF2C858BA
TestRSSI2,1578637092788000000,0117C55D14E4,T1_3,-77,E6D9D20DD197
TestRSSI2,1578637092788000000,0117C55D14E4,T1_3,-93,DB8B36A69C56
TestRSSI2,1578637092803000000,0117C55D14E4,T1_3,-71,FB2EE01C18CE
TestRSSI2,1578637092824000000,0117C55D14E4,T1_3,-80,EC72840D9AD3
TestRSSI2,1578637092944000000,0117C55D14E4,T1_3,-78,F69A86823B96
TestRSSI2,1578637092960000000,0117C55D14E4,T1_3,-73,E96AF2C858BA
TestRSSI2,1578637092960000000,0117C55D14E4,T1_3,-80,E6D9D20DD197
TestRSSI2,1578637093008000000,0117C55D14E4,T1_3,-80,E13B805C6CB0
TestRSSI2,1578637093016000000,0117C55D14E4,T1_3,-75,FB2EE01C18CE
TestRSSI2,1578637093032000000,0117C55D14E4,T1_3,-84,E6D9D20DD197
TestRSSI2,1578637093171000000,0117C55D14E4,T1_3,-69,E96AF2C858BA
TestRSSI2,1578637093257000000,0117C55D14E4,T1_3,-79,EC72840D9AD3
TestRSSI2,1578637093259000000,0117C55D14E4,T1_3,-77,E6D9D20DD197
TestRSSI2,1578637093259000000,0117C55D14E4,T1_3,-70,E96AF2C858BA
TestRSSI2,1578637093268000000,0117C55D14E4,T1_3,-75,FB2EE01C18CE
TestRSSI2,1578637093414000000,0117C55D14E4,T1_3,-75,EC72840D9AD3
TestRSSI2,1578637093435000000,0117C55D14E4,T1_3,-70,DD697EA75B68
TestRSSI2,1578637093444000000,0117C55D14E4,T1_3,-81,F1307ECB3B90
TestRSSI2,1578637093449000000,0117C55D14E4,T1_3,-80,E6D9D20DD197
TestRSSI2,1578637093453000000,0117C55D14E4,T1_3,-68,DF231643E227
TestRSSI2,1578637093517000000,0117C55D14E4,T1_3,-73,DD697EA75B68
TestRSSI2,1578637093552000000,0117C55D14E4,T1_3,-71,E96AF2C858BA
TestRSSI2,1578637093552000000,0117C55D14E4,T1_3,-80,FB2EE01C18CE
TestRSSI2,1578637093662000000,0117C55D14E4,T1_3,-70,E13B805C6CB0
TestRSSI2,1578637093683000000,0117C55D14E4,T1_3,-81,D2B6503554D7
TestRSSI2,1578637093756000000,0117C55D14E4,T1_3,-91,D2B6503554D7
TestRSSI2,1578637093760000000,0117C55D14E4,T1_3,-70,DD697EA75B68
TestRSSI2,1578637093769000000,0117C55D14E4,T1_3,-85,E6D9D20DD197
TestRSSI2,1578637093784000000,0117C55D14E4,T1_3,-80,E96AF2C858BA
TestRSSI2,1578637093815000000,0117C55D14E4,T1_3,-91,C400A2E19293
TestRSSI2,1578637093823000000,0117C55D14E4,T1_3,-85,E43355CA8B96
TestRSSI2,1578637093875000000,0117C55D14E4,T1_3,-56,DF231643E227
TestRSSI2,1578637093881000000,0117C55D14E4,T1_3,-76,CD4533FFC0E1
TestRSSI2,1578637093906000000,0117C55D14E4,T1_3,-79,E13B805C6CB0
TestRSSI2,1578637093950000000,0117C55D14E4,T1_3,-69,E13B805C6CB0
TestRSSI2,1578637093969000000,0117C55D14E4,T1_3,-75,D2B6503554D7
TestRSSI2,1578637094000000000,0117C55D14E4,T1_3,-72,E13B805C6CB0
TestRSSI2,1578637094039000000,0117C55D14E4,T1_3,-94,FDAE5980F28C
TestRSSI2,1578637094185000000,0117C55D14E4,T1_3,-59,DF231643E227
TestRSSI2,1578637094191000000,0117C55D14E4,T1_3,-79,E6D9D20DD197
TestRSSI2,1578637094258000000,0117C55D14E4,T1_3,-77,F69A86823B96
TestRSSI2,1578637094378000000,0117C55D14E4,T1_3,-58,DF231643E227
TestRSSI2,1578637094533000000,0117C55D14E4,T1_3,-68,DF231643E227
TestRSSI2,1578637094549000000,0117C55D14E4,T1_3,-72,E13B805C6CB0
TestRSSI2,1578637094628000000,0117C55D14E4,T1_3,-77,E6D9D20DD197
TestRSSI2,1578637094656000000,0117C55D14E4,T1_3,-82,F1307ECB3B90
TestRSSI2,1578637094681000000,0117C55D14E4,T1_3,-58,DF231643E227
TestRSSI2,1578637094701000000,0117C55D14E4,T1_3,-73,E13B805C6CB0
TestRSSI2,1578637094718000000,0117C55D14E4,T1_3,-72,E96AF2C858BA
TestRSSI2,1578637094763000000,0117C55D14E4,T1_3,-84,E43355CA8B96
TestRSSI2,1578637094789000000,0117C55D14E4,T1_3,-85,FDAE5980F28C
TestRSSI2,1578637094830000000,0117C55D14E4,T1_3,-75,CD4533FFC0E1
TestRSSI2,1578637094830000000,0117C55D14E4,T1_3,-58,DF231643E227
TestRSSI2,1578637094858000000,0117C55D14E4,T1_3,-72,DD697EA75B68
TestRSSI2,1578637094863000000,0117C55D14E4,T1_3,-76,F1307ECB3B90
TestRSSI2,1578637094868000000,0117C55D14E4,T1_3,-75,E13B805C6CB0
TestRSSI2,1578637094870000000,0117C55D14E4,T1_3,-89,FDAE5980F28C
TestRSSI2,1578637094900000000,0117C55D14E4,T1_3,-81,D2B6503554D7
TestRSSI2,1578637094900000000,0117C55D14E4,T1_3,-69,E96AF2C858BA
TestRSSI2,1578637094907000000,0117C55D14E4,T1_3,-75,EC72840D9AD3
TestRSSI2,1578637094947000000,0117C55D14E4,T1_3,-76,D2B6503554D7
TestRSSI2,1578637094951000000,0117C55D14E4,T1_3,-77,E6D9D20DD197
TestRSSI2,1578637094980000000,0117C55D14E4,T1_3,-77,CD4533FFC0E1
TestRSSI2,1578637095030000000,0117C55D14E4,T1_3,-72,FB2EE01C18CE
TestRSSI2,1578637095116000000,0117C55D14E4,T1_3,-87,F1307ECB3B90
TestRSSI2,1578637095127000000,0117C55D14E4,T1_3,-83,E43355CA8B96
TestRSSI2,1578637095130000000,0117C55D14E4,T1_3,-95,E8FD0B453DC4
TestRSSI2,1578637095138000000,0117C55D14E4,T1_3,-68,E13B805C6CB0
TestRSSI2,1578637095208000000,0117C55D14E4,T1_3,-70,DD697EA75B68
TestRSSI2,1578637095235000000,0117C55D14E4,T1_3,-69,E96AF2C858BA
TestRSSI2,1578637095286000000,0117C55D14E4,T1_3,-77,E6D9D20DD197
TestRSSI2,1578637095339000000,0117C55D14E4,T1_3,-85,F69A86823B96
TestRSSI2,1578637095345000000,0117C55D14E4,T1_3,-78,F69A86823B96
TestRSSI2,1578637095356000000,0117C55D14E4,T1_3,-91,C400A2E19293
TestRSSI2,1578637095425000000,0117C55D14E4,T1_3,-84,F69A86823B96
TestRSSI2,1578637095463000000,0117C55D14E4,T1_3,-75,FB2EE01C18CE
TestRSSI2,1578637095463000000,0117C55D14E4,T1_3,-84,F69A86823B96
