name,time,beacon,rssi,scanner
SequenceRSSI2,1582075733621000000,0117C55D14E4,-68,E96AF2C858BA
SequenceRSSI2,1582075733868000000,0117C55D14E4,-84,FB2EE01C18CE
SequenceRSSI2,1582075733869000000,0117C55D14E4,-86,FB2EE01C18CE
SequenceRSSI2,1582075733870000000,0117C55D14E4,-87,FB2EE01C18CE
SequenceRSSI2,1582075733940000000,0117C55D14E4,-73,CD4533FFC0E1
SequenceRSSI2,1582075733946000000,0117C55D14E4,-87,FB2EE01C18CE
SequenceRSSI2,1582075734031000000,0117C55D14E4,-81,E96AF2C858BA
SequenceRSSI2,1582075734063000000,0117C55D14E4,-72,E13B805C6CB0
SequenceRSSI2,1582075734112000000,0117C55D14E4,-77,FB2EE01C18CE
SequenceRSSI2,1582075734251000000,0117C55D14E4,-69,E96AF2C858BA
SequenceRSSI2,1582075734264000000,0117C55D14E4,-72,DF231643E227
SequenceRSSI2,1582075734360000000,0117C55D14E4,-68,DF231643E227
SequenceRSSI2,1582075734412000000,0117C55D14E4,-86,EC72840D9AD3
SequenceRSSI2,1582075734484000000,0117C55D14E4,-82,E96AF2C858BA
SequenceRSSI2,1582075734663000000,0117C55D14E4,-93,DF231643E227
SequenceRSSI2,1582075734848000000,0117C55D14E4,-73,EC72840D9AD3
SequenceRSSI2,1582075734866000000,0117C55D14E4,-71,E13B805C6CB0
SequenceRSSI2,1582075735062000000,0117C55D14E4,-77,CD4533FFC0E1
SequenceRSSI2,1582075735070000000,0117C55D14E4,-84,F1307ECB3B90
SequenceRSSI2,1582075735262000000,0117C55D14E4,-75,CD4533FFC0E1
SequenceRSSI2,1582075735265000000,0117C55D14E4,-83,E13B805C6CB0
SequenceRSSI2,1582075735430000000,0117C55D14E4,-82,DD697EA75B68
SequenceRSSI2,1582075735431000000,0117C55D14E4,-77,F1307ECB3B90
SequenceRSSI2,1582075735590000000,0117C55D14E4,-87,F1307ECB3B90
SequenceRSSI2,1582075735725000000,0117C55D14E4,-77,F69A86823B96
SequenceRSSI2,1582075735733000000,0117C55D14E4,-86,F69A86823B96
SequenceRSSI2,1582075735747000000,0117C55D14E4,-72,F69A86823B96
SequenceRSSI2,1582075735748000000,0117C55D14E4,-84,D2B6503554D7
SequenceRSSI2,1582075735807000000,0117C55D14E4,-73,CD4533FFC0E1
SequenceRSSI2,1582075735911000000,0117C55D14E4,-69,F69A86823B96
SequenceRSSI2,1582075736101000000,0117C55D14E4,-78,F1307ECB3B90
SequenceRSSI2,1582075736154000000,0117C55D14E4,-87,D2B6503554D7
SequenceRSSI2,1582075736227000000,0117C55D14E4,-75,F69A86823B96
SequenceRSSI2,1582075736439000000,0117C55D14E4,-79,DD697EA75B68
SequenceRSSI2,1582075736439000000,0117C55D14E4,-91,CD4533FFC0E1
SequenceRSSI2,1582075736439000000,0117C55D14E4,-92,E43355CA8B96
SequenceRSSI2,1582075736764000000,0117C55D14E4,-65,F69A86823B96
SequenceRSSI2,1582075736891000000,0117C55D14E4,-62,F69A86823B96
SequenceRSSI2,1582075737181000000,0117C55D14E4,-77,DF231643E227
SequenceRSSI2,1582075737277000000,0117C55D14E4,-71,EC72840D9AD3
SequenceRSSI2,1582075737285000000,0117C55D14E4,-58,F69A86823B96
SequenceRSSI2,1582075737289000000,0117C55D14E4,-75,DF231643E227
SequenceRSSI2,1582075737320000000,0117C55D14E4,-94,F1EDAF28E08A
SequenceRSSI2,1582075737436000000,0117C55D14E4,-70,F1307ECB3B90
SequenceRSSI2,1582075737443000000,0117C55D14E4,-67,CD4533FFC0E1
SequenceRSSI2,1582075737507000000,0117C55D14E4,-87,E96AF2C858BA
SequenceRSSI2,1582075737520000000,0117C55D14E4,-71,CD4533FFC0E1
SequenceRSSI2,1582075737873000000,0117C55D14E4,-83,E8FD0B453DC4
SequenceRSSI2,1582075737919000000,0117C55D14E4,-78,C400A2E19293
SequenceRSSI2,1582075737922000000,0117C55D14E4,-89,FB2EE01C18CE
SequenceRSSI2,1582075737928000000,0117C55D14E4,-87,E96AF2C858BA
SequenceRSSI2,1582075737929000000,0117C55D14E4,-73,EC72840D9AD3
SequenceRSSI2,1582075738051000000,0117C55D14E4,-68,F1307ECB3B90
SequenceRSSI2,1582075738129000000,0117C55D14E4,-90,D2B6503554D7
SequenceRSSI2,1582075738171000000,0117C55D14E4,-72,DB8B36A69C56
SequenceRSSI2,1582075738172000000,0117C55D14E4,-76,DB8B36A69C56
SequenceRSSI2,1582075738188000000,0117C55D14E4,-94,C400A2E19293
SequenceRSSI2,1582075738236000000,0117C55D14E4,-75,FDAE5980F28C
SequenceRSSI2,1582075738320000000,0117C55D14E4,-86,D2B6503554D7
SequenceRSSI2,1582075738354000000,0117C55D14E4,-66,F1307ECB3B90
SequenceRSSI2,1582075738359000000,0117C55D14E4,-75,EC72840D9AD3
SequenceRSSI2,1582075738400000000,0117C55D14E4,-62,CD4533FFC0E1
SequenceRSSI2,1582075738455000000,0117C55D14E4,-61,CD4533FFC0E1
SequenceRSSI2,1582075738502000000,0117C55D14E4,-74,F1307ECB3B90
SequenceRSSI2,1582075738503000000,0117C55D14E4,-79,C400A2E19293
SequenceRSSI2,1582075738791000000,0117C55D14E4,-75,DF231643E227
SequenceRSSI2,1582075738793000000,0117C55D14E4,-75,F69A86823B96
SequenceRSSI2,1582075738825000000,0117C55D14E4,-68,EC72840D9AD3
